Country,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,Deaths_100_Cases,Recovered_100_Cases,Deaths_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,WHO_Region
Lesotho,505.0,12.0,128.0,365.0,0.0,0.0,2.38,25.35,9.375,359.0,146.0,40.67,Africa
Liberia,2328.0,72.0,646.0,1610.0,5.0,0.0,6.17,55.36,11.145510835913312,1107.0,60.0,5.42,Africa
Libya,2827.0,64.0,577.0,2186.0,158.0,4.0,2.26,20.41,11.091854419410744,1980.0,847.0,42.78,Eastern Mediterranean
Liechtenstein,86.0,1.0,81.0,4.0,0.0,0.0,1.16,94.19,1.2345679012345678,86.0,,0.0,Europe
Lithuania,2019.0,,1620.0,,11.0,0.0,3.96,80.24,,1947.0,72.0,3.7,Europe
Luxembourg,6321.0,112.0,6920.0,-711.0,49.0,0.0,1.77,76.33,1.6184971098265895,5639.0,682.0,12.09,Europe
Madagascar,9690.0,91.0,6260.0,3339.0,395.0,,0.94,65.13,1.453674121405751,7153.0,2537.0,35.47,Africa
Malawi,3664.0,99.0,1645.0,1920.0,24.0,0.0,2.7,44.9,6.018237082066869,2992.0,672.0,22.46,Africa
Malaysia,8904.0,124.0,8601.0,179.0,7.0,0.0,1.39,96.6,1.441692826415533,8800.0,104.0,1.18,Western Pacific
Maldives,3369.0,15.0,2547.0,807.0,67.0,0.0,0.45,75.6,0.5889281507656066,2999.0,370.0,12.34,South-East Asia
Mali,2513.0,124.0,1913.0,476.0,3.0,1.0,4.93,76.12,6.4819654992158915,2475.0,38.0,1.54,Africa
Malta,701.0,9.0,665.0,27.0,1.0,,1.28,94.86,1.3533834586466165,677.0,24.0,3.55,Europe
Mauritania,6208.0,156.0,4653.0,1399.0,37.0,0.0,2.51,74.95,3.352675693101225,5923.0,285.0,4.81,Africa
Mauritius,344.0,10.0,332.0,2.0,0.0,0.0,2.91,96.51,3.0120481927710845,343.0,1.0,0.29,Africa
Mexico,395489.0,44022.0,303810.0,47657.0,4973.0,342.0,11.13,76.82,14.489977288436853,349396.0,46093.0,13.19,Americas
